ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20200803,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20200803,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
20200804,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20200804,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
20200805,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20200805,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
20200806,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20200806,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
20200807,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20200807,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
20200810,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20200810,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
20200811,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20200811,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
20200812,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20200812,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
20200813,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20200813,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
20200814,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20200814,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
20200817,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20200817,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
20200818,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20200818,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
20200819,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20200819,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
20200820,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
20200820,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
20200821,680.1,680.1,0,0,0,0,0,0,0,0,0,0,2910760.65,2910760.65,0,2910080.55,2910080.55,0
ReportDate,Cash,CashLong,CashShort,Stock,StockLong,StockShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,Total,TotalLong,TotalShort,Funds,FundsLong,FundsShort
