date,total_return,stock_portfolio_return,cash_return,weight_stock,weight_cash,ETF_return,risk_free_return,total_cumulative,ETF_cumulative
2023-09-18,-0.00015303539247357723,-0.00020598044490571787,-0.027175651721832436,1.1525134617918331,-0.15251346179183328,0.0003137008862048596,0.00013633710053317927,0.9998469646075264,1.0003137008862049
2023-09-19,-0.003003661349596509,-0.002042025391137847,0.00018353416009350587,1.1524524325665384,-0.15245243256653843,-0.002077616620932976,0.00015292985110493262,0.9968437629244234,0.9982354325150967
2023-09-20,-0.008124081674989792,-0.008129992746781056,124.51540253688842,0.9957234482519368,0.004276551748063305,-0.008956279215932783,0.00015292985110493262,0.9887453227772213,0.9892949572582541
2023-09-21,-0.014721143022160543,-0.014755238498895595,123.66269738545172,0.9957175142508403,0.004282485749159703,-0.01676641959649605,0.00016095097134738445,0.9741898614681255,0.9727080229001646
2023-09-22,-0.0014535387961236435,-0.00145984084504458,0.0,0.9956830575454099,0.0043169424545901796,-0.002257518342336562,0.00015265452952517578,0.9727738387096913,0.9705121166967295
2023-09-25,0.003634172158049065,0.0036499517258252734,0.0,0.9956767735680666,0.0043232264319334225,0.004040404040404066,0.0001366125507664684,0.9763090663104085,0.9744333777742921
2023-09-26,-0.013152356131544196,-0.016504758193031766,0.0,0.9956924280262026,0.0043075719737974555,-0.018511066398390286,0.00015320516826866637,0.9634683017758386,0.9563955768175044
2023-09-27,0.0015922595527007033,0.0016045989515154346,0.0,0.9923099795104036,0.007690020489596336,0.0017220172201721784,0.00015320516826866637,0.9650023933830656,0.9580425064700807
2023-09-28,0.00625525884613265,0.006303657035415577,0.0,0.9923222045535469,0.00767779544645304,0.006344138834315727,0.00013716343797964825,0.9710387331408142,0.9641204611403027
2023-09-29,-0.0029683671076052853,-0.0029911900895946975,12.239710069893864,0.9923699326001466,0.0076300673998535165,-0.0032944238825395322,0.0001617767232331424,0.9681563337051483,0.9609442396674771
2023-10-02,-0.0013748493208618484,-0.0013856973062867928,6.217043910750463e-05,0.9923472163288154,0.007652783671184679,-0.0010609646617154578,0.0001454596136638564,0.9668252646272657,0.9599247117873109
2023-10-03,-0.012632444589471326,-0.012730793666975604,0.00010859674284665822,0.992336436540091,0.007663563459908883,-0.014624183006536007,0.0001617767232331424,0.9546118980441608,0.9458865971296369
