date,total_cumulative,ETF_cumulative
2023-11-12,1.0,1.0
2023-11-13,1.0003957025215562,0.999481617353856
2023-11-14,1.017740222936337,1.0221309514315335
2023-11-15,1.0187194029587818,1.023686099369966
2023-11-16,1.0189563953611094,1.0234867214291412
2023-11-17,1.0206364328768425,1.025799505542707
2023-11-20,1.0281845579353783,1.0336549964111974
2023-11-21,1.0259553630808211,1.031142834356807
2023-11-22,1.0301971822304363,1.0357684025839384
2023-11-23,1.0301971822304363,1.0357684025839384
2023-11-24,1.0309011755320026,1.0364462875827423
2023-11-27,1.0295041599146175,1.0346917617034856
2023-11-28,1.0289140720256424,1.0350506419969698
2023-11-29,1.029206188636641,1.0362469096419178
2023-11-30,1.032754881233043,1.0404737219874
2023-12-01,1.0428847059542161,1.0488874710901994
2023-12-04,1.039046042299848,1.0450594146263663
2023-12-05,1.0352692001067327,1.0435840178642641
2023-12-06,1.0326005317114741,1.0395565834596068
2023-12-07,1.0405323459318765,1.047491825504427
2023-12-08,1.0455230238948423,1.0519180157907337
2023-12-11,1.0527311005139135,1.0563442060770405
2023-12-12,1.0560463621522922,1.0608501475396772
2023-12-13,1.0733955993091637,1.077438392216286
2023-12-14,1.0829237310447994,1.0843368689688182
2023-12-15,1.078484468897534,1.0800701810351712
2023-12-18,1.084121792222317,1.0863306483770643
2023-12-19,1.0926200932483414,1.094425392774544
2023-12-20,1.07584483930303,1.0782803652603883
2023-12-21,1.0908528350929512,1.0899699092238568
2023-12-22,1.0936765131799422,1.0927321644754984
2023-12-25,1.0936765131799422,1.0927321644754984
2023-12-26,1.100913350633383,1.0978563481307178
2023-12-27,1.1050381806808267,1.100378407273521
2023-12-28,1.1020333380025908,1.1001382111646825
2023-12-29,1.0978180733291667,1.0958547138903978
2024-01-01,1.0978180733291667,1.0958547138903978
2024-01-02,1.0892040166768029,1.088889026734084
2024-01-03,1.074699626484409,1.0772395154554215
2024-01-04,1.0712526782712666,1.0743171294645544
2024-01-05,1.0715756144051716,1.0765989924985193
2024-01-08,1.0872251739839391,1.0921717068882089
2024-01-09,1.0819103177247869,1.0892092882125353
2024-01-10,1.0845338947605732,1.0949339621398504
2024-01-11,1.0835199949993863,1.0938530796500776
2024-01-12,1.0849234472758675,1.094693766031012
2024-01-15,1.0849234472758675,1.094693766031012
2024-01-16,1.078710472941216,1.0898898438542441
2024-01-17,1.0718388225121585,1.083564679654833
2024-01-18,1.0800966478695968,1.092572033736273
2024-01-19,1.0915559076308685,1.1057828197223851
2024-01-22,1.0991239854639578,1.1108269380079916
2024-01-23,1.1006134596500623,1.112868604933118
2024-01-24,1.1036961242295722,1.112668441509086
2024-01-25,1.105917171194477,1.1187934422844654
2024-01-26,1.1024084449523293,1.1175924617402733
2024-01-29,1.1123041090537193,1.1277207309962924
2024-01-30,1.1123818354040484,1.126479717767294
2024-01-31,1.0961293841097093,1.1065834734185132
2024-02-01,1.112311145077833,1.1209552072640108
2024-02-02,1.1231367283464249,1.1312436072592555
2024-02-05,1.1155427909531064,1.1258391948103916
2024-02-06,1.1179988845556457,1.129882495975838
2024-02-07,1.1291589569360074,1.1395303730141804
2024-02-08,1.1294217307205183,1.1416521053089197
2024-02-09,1.1385675283804133,1.1494184461613612
2024-02-12,1.137702861822026,1.1497787403246187
2024-02-13,1.1177257999555514,1.1319641955857707
2024-02-14,1.130075794310228,1.144214197136529
2024-02-15,1.139980596556516,1.1533816819571947
2024-02-16,1.1336734437361393,1.1470565177577832
2024-02-19,1.1336734437361393,1.1470565177577832
2024-02-20,1.1272054699893002,1.1394503076445672
2024-02-21,1.126243271975672,1.140130863286276
2024-02-22,1.144732371098259,1.1618285784513451
2024-02-23,1.1440246947420956,1.1629494936259241
2024-02-26,1.1426200871678278,1.159626780786993
2024-02-27,1.1454820985565624,1.1625891994626667
2024-02-28,1.1432061271713254,1.1603874017983147
2024-02-29,1.1488603630133292,1.1664723698888875
2024-03-01,1.1577540712216259,1.1762003122968427
2024-03-04,1.1572440984565986,1.1751594624918764
2024-03-05,1.1438496975300116,1.1623890360386349
2024-03-06,1.1512646593173645,1.1699552134670446
2024-03-07,1.160869431597139,1.1812043978976432
2024-03-08,1.1531497057282827,1.1739184492628782
2024-03-11,1.1506243463772494,1.1719168150225583
2024-03-12,1.1593462539868866,1.1832060321379632
2024-03-13,1.1569675566495945,1.1829258033443184
2024-03-14,1.1533276389603053,1.1782419792219696
2024-03-15,1.1472391240744149,1.1703155076303022
2024-03-18,1.1529130520974866,1.1769209006233583
2024-03-19,1.1589234149970216,1.1838465550948658
2024-03-20,1.175036752802255,1.1953359356343025
2024-03-21,1.1792189742216945,1.2006266592615848
2024-03-22,1.1749299007866763,1.1974962648431329
2024-03-25,1.1701977315615057,1.194004671068706
2024-03-26,1.1684815323564097,1.1917572084093047
2024-03-27,1.1798056830818056,1.2035965206329362
2024-03-28,1.1800441000618547,1.2043189193448867
2024-03-29,1.1800441000618547,1.2043189193448867
2024-04-01,1.1789411468201612,1.2004661262144847
2024-04-02,1.1685687790554156,1.1912756092680044
2024-04-03,1.1713535505349941,1.1936836049745059
2024-04-04,1.155000987909906,1.1788744313795225
2024-04-05,1.165455894318016,1.1911150762209044
2024-04-08,1.1713355782709316,1.192238807550605
2024-04-09,1.1755333831808152,1.1943658704246813
2024-04-10,1.163787305542754,1.1805198951122984
2024-04-11,1.1722338527025222,1.1892689461792534
2024-04-12,1.1543023541476956,1.1716905775217934
